State,Year,unemployment_rate
NM,2013,6.9
NY,2013,7.8
NC,2013,7.8
ND,2013,2.9
OH,2013,7.4
OK,2013,5.1
OR,2013,7.8
PA,2013,7.1
RI,2013,9.5
SC,2013,7.4
SD,2013,3.7
TN,2013,7.7
TX,2013,6.3
UT,2013,4.2
VT,2013,4.4
VA,2013,5.5
WA,2013,6.7
WV,2013,6.7
WI,2013,6.7
WY,2013,4.7
AL,2014,6.8
AK,2014,6.7
AZ,2014,6.8
AR,2014,5.9
CA,2014,7.6
CO,2014,5
CT,2014,6.6
DE,2014,5.6
FL,2014,6.5
GA,2014,7.1
HI,2014,4.2
ID,2014,4.4
IL,2014,7.2
IN,2014,5.9
IA,2014,4.3
KS,2014,4.5
KY,2014,6.4
LA,2014,6.2
ME,2014,5.6
MD,2014,5.7
MA,2014,5.7
MI,2014,7.2
MN,2014,4.2
MS,2014,7.6
MO,2014,6.2
MT,2014,4.6
NE,2014,3.2
NV,2014,8.2
NH,2014,4.3
NJ,2014,6.7
NM,2014,6.6
NY,2014,6.3
NC,2014,6.1
ND,2014,2.7
OH,2014,5.8
OK,2014,4.3
OR,2014,6.7
PA,2014,6
RI,2014,7.8
SC,2014,6.3
SD,2014,3.4
TN,2014,6.5
TX,2014,5.2
UT,2014,3.6
VT,2014,3.9
VA,2014,5.1
WA,2014,5.9
WV,2014,6.5
WI,2014,5.3
WY,2014,4.4
AL,2015,6.1
AK,2015,6.3
AZ,2015,6.1
AR,2015,5
CA,2015,6.2
CO,2015,3.7
CT,2015,5.6
DE,2015,4.8
FL,2015,5.5
GA,2015,6.1
HI,2015,3.4
ID,2015,3.9
IL,2015,6
IN,2015,4.8
IA,2015,3.7
KS,2015,4.2
KY,2015,5.3
LA,2015,6.3
ME,2015,4.4
MD,2015,5
MA,2015,4.8
MI,2015,5.4
MN,2015,3.8
MS,2015,6.5
MO,2015,5.1
MT,2015,4.3
NE,2015,3
NV,2015,6.9
NH,2015,3.4
NJ,2015,5.7
NM,2015,6.6
NY,2015,5.2
NC,2015,5.7
ND,2015,2.8
OH,2015,5
OK,2015,4.3
OR,2015,5.5
PA,2015,5.4
RI,2015,6
SC,2015,5.9
SD,2015,3
TN,2015,5.5
TX,2015,4.5
UT,2015,3.5
VT,2015,3.5
VA,2015,4.4
WA,2015,5.5
WV,2015,6.5
WI,2015,4.4
WY,2015,4.2
AL,2016,5.8
AK,2016,6.6
AZ,2016,5.5
AR,2016,4
CA,2016,5.5
CO,2016,3.1
CT,2016,4.9
DE,2016,4.5
FL,2016,4.9
GA,2016,5.4
HI,2016,2.9
ID,2016,3.7
IL,2016,5.9
IN,2016,4.4
IA,2016,3.6
KS,2016,4
KY,2016,5.1
LA,2016,6
ME,2016,3.8
MD,2016,4.2
MA,2016,4
MI,2016,5
MN,2016,3.9
MS,2016,6
MO,2016,4.6
MT,2016,4.3
NE,2016,3.1
NV,2016,5.8
NH,2016,2.9
NJ,2016,4.9
NM,2016,6.8
NY,2016,4.9
NC,2016,5.1
ND,2016,3
OH,2016,5
OK,2016,4.6
OR,2016,4.8
PA,2016,5.3
RI,2016,5.2
SC,2016,4.9
SD,2016,3
TN,2016,4.7
TX,2016,4.6
UT,2016,3.3
VT,2016,3.1
VA,2016,4
WA,2016,5.2
WV,2016,6.1
WI,2016,3.9
WY,2016,5.3
