"State","Year","under19_pop_prct","white_pop_prct"
"LA",2008,0.280762902579276,0.650116354411796
"LA",2009,0.278576593713488,0.647982433173748
"LA",2010,0.2755143984023,0.646470087568973
"LA",2011,0.271756973091108,0.645002813823248
"LA",2012,0.268799940534305,0.643795050263292
"LA",2013,0.266443897938103,0.642472841006226
"LA",2014,0.264782850521736,0.641548161040893
"LA",2015,0.263551348574849,0.640656018014727
"LA",2016,0.262686519307374,0.63959334221864
"LA",2017,0.261651065396869,0.638224966599294
"LA",2018,0.260285984689969,0.63718122879419
"LA",2019,0.258833796464201,0.636302232363921
"MA",1990,0.256979373992032,0.918804696745065
"MA",1991,0.255907730702321,0.915431496709297
"MA",1992,0.255169390328842,0.912298968153878
"MA",1993,0.257566905021624,0.909209844818201
"MA",1994,0.259497696645629,0.906775630364739
"MA",1995,0.26054014975303,0.904465805685795
"MA",1996,0.262171677975635,0.901817482761455
"MA",1997,0.262718721862212,0.898367956096779
"MA",1998,0.264189062281264,0.895095664141835
"MA",1999,0.263811142180774,0.891633114860752
"MA",2000,0.263543718197344,0.888041289688079
"MA",2001,0.263068190521684,0.883925369910189
"MA",2002,0.262355455006431,0.880219989821115
"MA",2003,0.261320204622297,0.876729780080077
"MA",2004,0.260203818266854,0.873340079762568
"MA",2005,0.258447922864652,0.869871893979501
"MA",2006,0.256531427669279,0.866425151370871
"MA",2007,0.254588817423583,0.863247775539337
"MA",2008,0.252368113796221,0.859830789057975
"MA",2009,0.249805565319696,0.856400341658825
"MA",2010,0.247310702956776,0.853167846096748
"MA",2011,0.245043420487805,0.849556738004195
"MA",2012,0.242263663317077,0.845516399882635
"MA",2013,0.239554378127646,0.841633082910604
"MA",2014,0.236837303307783,0.837700492532749
"MA",2015,0.234435023375724,0.833972012714322
"MA",2016,0.232264221508621,0.829938648292809
"MA",2017,0.230328804574018,0.825809656827637
"MA",2018,0.228350333847429,0.822771656494933
"MA",2019,0.226076216434001,0.819622856892482
"MD",1990,0.274130635426281,0.716673090585591
"MD",1991,0.274415471477868,0.711422843221183
"MD",1992,0.27542974646624,0.706615471360256
"MD",1993,0.277500965930655,0.700727027493977
"MD",1994,0.278447201506651,0.695128467507854
"MD",1995,0.280066618895774,0.689747384287242
"MD",1996,0.279126742522378,0.68378669268656
"MD",1997,0.280528987103399,0.678311714903531
"MD",1998,0.282252504772826,0.67324973330587
"MD",1999,0.282207338497279,0.66831039779359
"MD",2000,0.281260108671871,0.664299644852584
"MD",2001,0.280216295225158,0.659922961152557
"MD",2002,0.279230952051407,0.655622971077987
"MD",2003,0.277733313271239,0.651263429792101
"MD",2004,0.276417877620704,0.646445108875442
"MD",2005,0.274394492934045,0.641584914041055
"MD",2006,0.272270672945269,0.637044820428453
"MD",2007,0.270206926512291,0.633050188488077
"MD",2008,0.267782651256428,0.629672654097255
"MD",2009,0.265057793643293,0.626104375480334
"MD",2010,0.262020213711499,0.622973942952107
"MD",2011,0.259494994279397,0.620507451169371
"MD",2012,0.256647537486037,0.618101910109611
"MD",2013,0.254071287286509,0.615402550113216
"MD",2014,0.25245048791538,0.612348783833167
"MD",2015,0.250715805800692,0.608882674676162
"MD",2016,0.24970287289223,0.606010870979289
"MD",2017,0.248544954836328,0.603023007808272
"MD",2018,0.247524852538238,0.60070161347241
"MD",2019,0.246410825581241,0.598257433406995
"ME",1990,0.280781574368829,0.985620908665045
"ME",1991,0.279225855057187,0.985296031545226
"ME",1992,0.277913424862819,0.984707406007874
"ME",1993,0.276761206212338,0.984482034159166
"ME",1994,0.276731725923863,0.984374673080854
"ME",1995,0.274654196287837,0.98374079197092
"ME",1996,0.272822762717564,0.98318655629033
"ME",1997,0.269909162924957,0.982266129199362
"ME",1998,0.268887888195551,0.981041626460238
"ME",1999,0.265546160112661,0.980397976646816
"ME",2000,0.262877895686383,0.978556416552865
"ME",2001,0.261017413190718,0.977214605053154
"ME",2002,0.258131423809377,0.975814839964196
"ME",2003,0.255371358723564,0.974216865809984
"ME",2004,0.2525957457174,0.972896151902126
"ME",2005,0.249382955700959,0.97141615742345
"ME",2006,0.246218133768101,0.970161353078189
"ME",2007,0.243203671328671,0.968944417651314
"ME",2008,0.240095331936875,0.967537235749627
"ME",2009,0.23695199271956,0.966346016441159
"ME",2010,0.233364893354996,0.96561614728211
"ME",2011,0.230001264789759,0.964407461055015
"ME",2012,0.226638869829611,0.963666531347888
"ME",2013,0.223451798895941,0.962720885174724
"ME",2014,0.220636701783447,0.961214208354221
"ME",2015,0.218146721053527,0.960585336326719
"ME",2016,0.215945563678673,0.95919904876149
"ME",2017,0.213574432119597,0.95833620557885
