"State","Year","under19_pop_prct","white_pop_prct","Income","income_adj","educ_spending","governor","house","senate"
"NH",2002,0.274948407873679,0.968793362798039,55320,73575.6,6254.141113,-1,1,1
"NH",2003,0.272062132766596,0.967019314914364,55570,72241,6601.987793,1,1,1
"NH",2004,0.268853076571887,0.965435025086794,56820,72161.4,6925.630371,1,1,1
"NH",2005,0.265889970827699,0.963685567566069,56980,70085.4,7154.342773,-1,1,1
"NH",2006,0.26236998323893,0.962095370719259,61970,73744.3,7378.856934,-1,1,1
"NH",2007,0.258728114952687,0.96084462187819,67580,78392.8,7635.67334,-1,-1,-1
"NH",2008,0.254857869787052,0.959301804232217,66180,73459.8,8085.763184,-1,-1,-1
"NH",2009,0.250836181390196,0.958120267274117,64130,71825.6,8458.076172,-1,-1,-1
"NH",2010,0.246712769657691,0.957229932212503,66630,73293,8810.34082,-1,-1,-1
"NH",2011,0.243413507932877,0.955157619818785,65880,70491.6,9009.894531,-1,1,1
"NH",2012,0.238886388487818,0.95310640431586,67820,71211,9145.652344,-1,1,1
"NH",2013,0.234597345739781,0.95144736028801,70210,72316.3,9220.25,-1,-1,1
"NJ",1997,0.270272769481901,0.797607998629485,48020,72030,7223.887207,1,1,1
"NJ",1998,0.270171119641847,0.794064086063959,49830,73250.1,7607.885742,1,1,1
"NJ",1999,0.270791206078,0.790611671000211,49730,71611.2,7706.438965,1,1,1
"NJ",2000,0.271084656753043,0.787223384849111,50410,70069.9,8273.927734,1,1,1
"NJ",2001,0.27120419476982,0.783277369392974,51770,70407.2,8330.167969,1,1,1
"NJ",2002,0.271115490264238,0.779534232868132,54570,72578.1,8454.405273,-1,-1,0
"NJ",2003,0.270921647424455,0.776001051921536,56050,72865,9054.401367,-1,-1,0
"NJ",2004,0.270644911767952,0.772558442751172,55280,70205.6,9600.628906,-1,-1,-1
"NJ",2005,0.269545308388583,0.769082870568034,63370,77945.1,9936.870117,-1,-1,-1
"NJ",2006,0.267888246609,0.765784093361114,68060,80991.4,10251.8291,-1,-1,-1
"NJ",2007,0.266299910634907,0.762311554024973,60510,70191.6,10377.76953,-1,-1,-1
"NJ",2008,0.264436138301866,0.75899893124741,65310,72494.1,10650.76074,-1,-1,-1
"NJ",2009,0.262369623470779,0.755629138921573,64780,72553.6,10871.9248,-1,-1,-1
"NJ",2010,0.260122625901676,0.752640677606295,62970,69267,11295.34766,1,-1,-1
"NJ",2011,0.258016743547916,0.750009656645919,62340,66703.8,10745.85645,1,-1,-1
"NJ",2012,0.255217275590954,0.747429773988343,66690,70024.5,10906.01953,1,-1,-1
"NJ",2013,0.252510000031614,0.744922418180841,62765,64647.95,11298.85742,1,-1,-1
"NM",1997,0.319894367883509,0.869932991105109,30090,45135,3956.544189,1,-1,-1
"NM",1998,0.316825240704684,0.866965080257198,31540,46363.8,4160.450684,1,-1,-1
"NM",1999,0.313805457938301,0.86468478752623,32570,46900.8,4467.597168,1,-1,-1
"NM",2000,0.309974061115614,0.860920577815555,35090,48775.1,4655.35791,1,-1,-1
"NM",2001,0.30614241492829,0.858471138675213,33120,45043.2,4898.682129,1,-1,-1
"NM",2002,0.302280644356277,0.856699342265898,35460,47161.8,5133.051758,1,-1,-1
"NM",2003,0.298205556745034,0.855159370549443,35110,45643,5366.558594,-1,-1,-1
"NM",2004,0.294521821528221,0.853820343227889,39560,50241.2,5543.449219,-1,-1,-1
"NM",2005,0.291036364407946,0.852949426427101,38950,47908.5,5594.062012,-1,-1,-1
"NM",2006,0.287686333828881,0.852152015888799,40030,47635.7,5760.325195,-1,-1,-1
"NM",2007,0.285500007537423,0.850963031451155,44360,51457.6,5919.947266,-1,-1,-1
"NM",2008,0.284391409396507,0.849201407297696,42100,46731,6080.721191,-1,-1,-1
"NM",2009,0.283204749406177,0.847308182140434,43540,48764.8,6203.35498,-1,-1,-1
"NM",2010,0.280778590221995,0.846031487702901,45130,49643,6137.39502,-1,-1,-1
"NM",2011,0.277680309548415,0.844335600471052,41980,44918.6,5854.049316,1,-1,-1
"NM",2012,0.274221976717391,0.842767410095966,43420,45591,5629.977051,1,-1,-1
"NM",2013,0.270941220385676,0.840550922370073,41150,42384.5,5641.38623,1,-1,-1
"NV",1997,0.275151578364994,0.864237595969399,38850,58275,4231.916504,-1,-1,1
"NV",1998,0.277766835690439,0.860687862179344,39760,58447.2,4325.090332,-1,-1,1
"NV",1999,0.279908493124063,0.856844253271019,41460,59702.4,4489.801758,1,-1,1
